text,true_category,predicted_category
i need an ironing board brought to my room,HOUSEKEEPING,RECEPTION
the walls are paper thin i can hear everything,COMPLAINT,OTHER
i have lost something at the hotel can you check,RECEPTION,OTHER
i need to reserve the business center for a meeting,RECEPTION,RESTAURANT
i want to cancel my booking what is the refund process,RECEPTION,OTHER
is there a dress code for the restaurant,OTHER,RESTAURANT
can you help me with directions,OTHER,RECEPTION
we found an insect in the salad,RESTAURANT,HOUSEKEEPING
pouvez vous me rappeler quand possible,OTHER,RECEPTION
je voudrais réserver une table pour ce soir,RESTAURANT,RECEPTION
there are ants near the window,HOUSEKEEPING,MAINTENANCE
i was lied to about the room features,COMPLAINT,RESTAURANT
la nourriture n était pas bonne,RESTAURANT,HOUSEKEEPING
pouvez vous changer les taies d oreiller,HOUSEKEEPING,RECEPTION
i was given a dirty room despite paying for a premium,COMPLAINT,RESTAURANT
